pet_id|pet_name|pet_type|pet_age|visit_type|check_items|visit_fee|visit_date
P001|Nuomi|Cat|3|Routine Check-up|Blood Routine + Weight Monitoring|120|2024-05-02
P002|Meiqiu|Dog|-2|Disease Treatment|Blood Routine + Fecal Examination|280|2024-05-05
P003|Buding|Cat|5|Vaccination|Feline Triple Vaccine|150|2024-05-08
P004|Kele|Dog|1|Routine Check-up|Weight Monitoring + Skin Examination|90|2024-05-10
P005|Xueqiu|Rabbit|2|Disease Treatment|Digestive System Examination|320|2024-05-12
P006|Mangguo|Cat|1|Vaccination|Feline Triple Vaccine + Deworming|180|
P007|Heidou|Dog|4|Routine Check-up|Blood Routine + Liver Function Test|200|2024-05-03
P008|Naitang|Cat|2|Disease Treatment|Urinary System Examination|260|2024-05-06
P009|Afu|Dog|6|Vaccination|Canine Hexavalent Vaccine|140|2024-05-09
P010|Tiaotiao|Rabbit|1|Routine Check-up|Weight Monitoring + Oral Examination|80|2024-05-11
P011|Chengzi|Cat|7|Disease Treatment|Respiratory Tract Examination|290|2024-05-13
P012|Huihui|Dog|3|Grooming Bath|Skin Examination + Joint Examination|130|2024-05-15
P013|Tangyuan|Cat|2|Vaccination|Feline Triple Vaccine + Rabies Vaccine|210|
P014|Heibao|Dog|5|Disease Treatment|Gastrointestinal Function Examination|270|2024-05-19
P015|Huahua|Rabbit|3|Routine Check-up|Digestive System Examination + Weight Monitoring|110|2024-05-21
P016|Youzi|Cat|4|Routine Check-up|Blood Routine + Renal Function Test|170|2024-05-23
P017|Dahuang|Dog|2|Vaccination|Canine Hexavalent Vaccine + Deworming|160|2024-05-25
P018|Beibei|Cat|1|Disease Treatment|Skin Inflammation Examination|240|2024-05-27
P019|Lala|Dog|7|Routine Check-up|Heart Examination + Blood Pressure Monitoring|220|2024-05-29
P020|Duoduo|Rabbit|2|Vaccination|Rabbit Plague Vaccine|120|2024-05-04
P021|Putao|Cat|5|Disease Treatment|Ophthalmic Examination|250|2024-05-07
P022|Xiaobai|Dog|3|Routine Check-up|Oral Examination + Teeth Cleaning|150|2024-05-14
P023|Pangpang|Cat|6|Vaccination|Feline Triple Vaccine|150|2024-05-16
P024|Doudou|Dog|4|Disease Treatment|Bone Examination|280|2024-05-18
P025|Tiantian|Rabbit|1|Routine Check-up|Hearing Test + Weight Monitoring|90|
P026|Lizhi|Cat|2|Routine Check-up|Blood Routine + Skin Examination|130|2024-05-22
P027|Dangdang|Dog|5|Vaccination|Canine Hexavalent Vaccine|140|2024-05-24
P028|Maomao|Cat|3|Disease Treatment|Digestive System Examination|260|2024-05-26
